UniProtId	Type	Annotations
A0A1B0GUX1	Data unknown	None
Q32WD8	Data unknown	None
F6IQA0	Data unknown	None
Q8NGL5	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A0E3M0M8	Data unknown	None
L8E8Z4	Data unknown	None
A0A0D9SEX5	Data unknown	None
A0A0G4PYW5	Data unknown	None
A0A0G2JMC1	Data unknown	None
A0A1G4HPZ0	Data unknown	None
V5NSZ5	Data unknown	None
B4DVL4	Data unknown	None
H6X1W9	Data unknown	None
B4DWN6	Data unknown	None
U3KPU1	Data unknown	None
A0A0G2JRU6	Data unknown	None
A0A126GWE9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A0S2Z671	Data unknown	None
Q9P1T5	Data unknown	None
A0A0S2Z579	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363126
A0A0G2JN45	Data unknown	None
A0A0H4KBJ1	Data unknown	None
A0A0K1HQR5	Data unknown	ECO:0000256|RuleBase:RU362117
A0A0S2Z5Q1	Data unknown	None
A0A0S4XQU8	Data unknown	None
B4E378	Data unknown	None
K4IA16	Data unknown	None
F8WCJ0	Data unknown	None
K7X9Y0	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A191XZD2	Data unknown	None
U6BMA7	Data unknown	None
F4YTE4	Data unknown	None
Q9P040	Data unknown	None
X5MNS5	Data unknown	None
A0A059RH59	Data unknown	None
A0A0G2UI99	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A0G2UIR5	Data unknown	ECO:0000256|SAAS:SAAS00711177
A0A126GWS7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0F6SIH4	Data unknown	None
A0A0S2Z4K9	Data unknown	None
A0A1L1Z861	Data unknown	None
A0A140T9S0	Data unknown	None
A0A1I9S076	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
H9CTV0	Data unknown	None
A0A181C4Z6	Data unknown	None
Q9P096	Data unknown	None
C0KZ90	Data unknown	None
Q6IFI9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0E4FHS6	Data unknown	None
A0A0G2JQ19	Data unknown	None
A0A0G2JMF5	Data unknown	None
A0A126GWC3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A126GWQ2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A140T951	Data unknown	None
A0A140T9X4	Data unknown	None
Q30136	Data unknown	None
G9LDH0	Data unknown	None
Q29970	Data unknown	None
Q8NH46	Data unknown	None
A0A143FYL1	Data unknown	None
A0A059RUS7	Data unknown	None
A0A0U5Q200	Data unknown	None
A0A0U5Q1N1	Data unknown	None
A0A126GVN9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A1D3TZL9	Data unknown	None
A0A1C3PHX9	Data unknown	None
F4NBZ3	Data unknown	None
U6BQR3	Data unknown	None
A0A126GVR7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A1B1PEM6	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
A0A1J0QIL7	Data unknown	ECO:0000256|RuleBase:RU362117
A0A1L5LC20	Data unknown	None
V5NX26	Data unknown	None
A0A1B0GVS2	Data unknown	None
A0A142CKZ2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003822
A0A0R4QFZ3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A140H961	Data unknown	None
A0A1C3PHX2	Data unknown	None
A0A1L3H073	Data unknown	None
H0Y9G5	Data unknown	None
F4NBY6	Data unknown	None
F6IR38	Data unknown	None
A0A0U5PXQ9	Data unknown	None
A0A0K0PV71	Data unknown	None
A0A1A9C7R4	Data unknown	None
B4DJ33	Data unknown	None
A0A087WYM6	Data unknown	None
D5H3U8	Data unknown	None
E9PJR8	Data unknown	None
S6AP29	Data unknown	None
F6IQE2	Data unknown	None
A0A087WZB2	Data unknown	None
I2GAE1	Data unknown	None
A0A0G2JNU6	Data unknown	None
A0A0S1Z226	Data unknown	None
A0A126GW17	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A126GWD1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0N6YMF5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A1L3H068	Data unknown	None
A4D1F5	Data unknown	None
A0A024F9R7	Data unknown	None
E1ACV6	Data unknown	None
H0YLD0	Data unknown	None
Q6ZVB8	Data unknown	None
G3V5A6	Data unknown	None
A0A059RQ93	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
Q8HWE9	Data unknown	None
H3BTJ7	Data unknown	None
K7DWB0	Data unknown	None
A0A0S2Z3J6	Data unknown	None
F6IQB5	Data unknown	None
F6IQH6	Data unknown	None
A0A0E3JV88	Data unknown	None
Q8MGT5	Data unknown	None
A0A126GWQ7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A141AXF0	Data unknown	None
A0A0U1RQL2	Data unknown	None
A0A0U5KJ72	Data unknown	None
Q9GJF2	Data unknown	None
F6IQA3	Data unknown	None
F4YTG4	Data unknown	None
F4NBS1	Data unknown	None
A0A1L3H055	Data unknown	None
Q8WVD6	Data unknown	None
A0A0A1IX94	Data unknown	None
A0A1B0GVA4	Data unknown	None
F6IQR3	Data unknown	None
Q2V820	Data unknown	None
A0A059RT76	Data unknown	None
A0A0B7MGB5	Data unknown	None
A0A0S2Z3G7	Data unknown	None
A0A0S4T2L8	Data unknown	None
A0A126GVW4	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A0A1E850	Data unknown	None
A0A0J9YYD9	Data unknown	None
A0A0G2JNW1	Data unknown	None
A0A126GW35	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A140T960	Data unknown	None
Q70V26	Data unknown	None
Q6ZV02	Data unknown	None
A0A075B7E7	Data unknown	None
A0A0G2JNR7	Data unknown	None
A0A1L1Z846	Data unknown	None
B4DEL6	Data unknown	None
Q8NGT4	Data unknown	None
A0A1L1ZCG1	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00709542
V5NQA0	Data unknown	None
D6RBW9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361218
A0A0A8LCL4	Data unknown	None
A0A024CHX5	Data unknown	None
A0A0A8LC43	Data unknown	None
F4NBZ0	Data unknown	None
A0A059RMY5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
F6IQU3	Data unknown	None
Q9MY51	Data unknown	None
A0A0U5J4P8	Data unknown	None
A0A0X9UB67	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A1B0TC97	Data unknown	ECO:0000256|RuleBase:RU362117
B5BUP4	Data unknown	None
Q6ZNZ4	Data unknown	None
Q9TQE1	Data unknown	None
A0A060VD21	Data unknown	None
Q9TQ65	Data unknown	None
A0A0U3DVR8	Data unknown	None
Q6ZQS2	Data unknown	None
Q30137	Data unknown	None
A0A0B7NRY9	Data unknown	None
A0A0U2VW74	Data unknown	None
A0A0G2JLW8	Data unknown	None
A0A0S4T1L5	Data unknown	None
A0A1C3PI47	Data unknown	None
A0A1B1PEM5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
Q56FP5	Data unknown	None
A0A1B0GUJ5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361222
U5YKG9	Data unknown	None
S4R468	Data unknown	None
L0R5C5	Data unknown	None
A0A126GWH4	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
E9PIF1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361218
F6IQQ7	Data unknown	None
F6IQI0	Data unknown	None
H7C0J0	Data unknown	None
A0A0S4T485	Data unknown	None
A0A126GWC6	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A0G2JIU9	Data unknown	None
A0A143FYN8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A1J0QVE1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A1L3H051	Data unknown	None
A0A126GWS5	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A140TA75	Data unknown	None
A0A1L3HDY7	Data unknown	None
A0A110AJQ0	Data unknown	None
A0A0G2JM43	Data unknown	None
A0A0G2JLM5	Data unknown	None
A0A0Y0JBF6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A126GVR1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A140T9T2	Data unknown	None
A0A1L2EFL1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
E5RH51	Data unknown	None
L8E9M9	Data unknown	None
Q45FB1	Data unknown	None
U6BQR0	Data unknown	None
C9JST7	Data unknown	None
Q70V24	Data unknown	None
A0A059RDW3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
K7WIH9	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
A0A059QSE5	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
Q9UBA9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00674178
A0A0J9YXL8	Data unknown	None
A0A0S4T1G8	Data unknown	None
A0A126GWA5	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A140T966	Data unknown	None
H0YDK1	Data unknown	None
Q30109	Data unknown	None
W8YM35	Data unknown	None
A0A0S2Z3L5	Data unknown	None
A0A126GVH9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A1B0VZH8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A1J0QPA6	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
B8Q179	Data unknown	None
F8WDM2	Data unknown	None
A0A1B0GTH1	Data unknown	None
A0A0A8R5V5	Data unknown	None
Q08GE4	Data unknown	None
B4DU43	Data unknown	None
A5A340	Data unknown	None
F6IQC2	Data unknown	None
L0R6Q4	Data unknown	None
A0A1B0GTN5	Data unknown	None
Q52YL7	Data unknown	None
A0A0A0MS95	Data unknown	None
F6IQF5	Data unknown	None
L8EAN0	Data unknown	None
F4NBU5	Data unknown	None
A0A182DWI4	Data unknown	None
L8E878	Data unknown	None
A0A0S2IKY1	Data unknown	None
A0A1A7G6U7	Data unknown	None
A0A1R4A418	Data unknown	None
A0A060VCX0	Data unknown	None
A0A0A0WC94	Data unknown	None
H0Y9I4	Data unknown	None
Q6ZR23	Data unknown	None
L8E9G5	Data unknown	None
A0A0G2JHM8	Data unknown	None
A0A0X8DA35	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
V5NRA5	Data unknown	None
V5NQW6	Data unknown	None
Q30131	Data unknown	None
A0A060VCU4	Data unknown	None
A0A4Z1	Data unknown	None
Q67AF4	Data unknown	None
A0A126GW03	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A126GV90	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0U1WN03	Data unknown	None
H0YFT6	Data unknown	None
A0A059RHY7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000457
B1GYE9	Data unknown	None
A0A0S4XQU0	Data unknown	None
A0A1L3HDY3	Data unknown	None
A0A1B0GTT7	Data unknown	None
C9IZP1	Data unknown	None
Q86VF1	Data unknown	None
D6RBP4	Data unknown	None
F4NC12	Data unknown	None
A0A075M4J2	Data unknown	None
H0YCK0	Data unknown	None
L7Z9L1	Data unknown	None
Q3BK34	Data unknown	None
A0A1B0GV11	Data unknown	None
A5CLI0	Data unknown	None
B7Z2N4	Data unknown	None
M0R108	Data unknown	None
L7SQ42	Data unknown	None
K7ESE6	Data unknown	None
A0A0G4PZI7	Data unknown	None
A0A0S4XRX2	Data unknown	None
A0A0S4XQQ0	Data unknown	None
A0A0X8DBD5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A0G2JRU8	Data unknown	None
V5NST9	Data unknown	None
F8TR68	Data unknown	None
B7ZW57	Data unknown	None
A0A141AXF8	Data unknown	None
A0A0G2JM84	Data unknown	None
A0A0G4PZJ0	Data unknown	None
A0A126GW21	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A158VVK3	Data unknown	None
A0A140H963	Data unknown	None
A0A1D3TZL8	Data unknown	None
Q59EJ6	Data unknown	None
Q6IEX5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A126GVU6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
Q9Y2S8	Data unknown	None
E9PCV1	Data unknown	None
F4NBV6	Data unknown	None
A0A1B0GU81	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003808
V6A6U0	Data unknown	None
A0A1B0GTN7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003808
A0A0C4DGY1	Data unknown	None
A0A141ZQA8	Data unknown	None
L0R6N6	Data unknown	None
M0R2F3	Data unknown	None
A0A0K0PUW9	Data unknown	None
A0A140GX63	Data unknown	None
A0A1C3PHG2	Data unknown	None
A0A1J0Q0D7	Data unknown	None
A0A1L1ZAL1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
A0A1L1ZEL5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
J9JIC8	Data unknown	None
H0YC75	Data unknown	None
F4NC09	Data unknown	None
Q96T04	Data unknown	None
F4NBS8	Data unknown	None
A2A3C6	Data unknown	None
Q50KG7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004424
E9PIL3	Data unknown	None
A0A0B6VWV2	Data unknown	None
A0A126GWU6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0U5PXI8	Data unknown	None
A0A087WU14	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363122
H7C3S2	Data unknown	None
U3PSS2	Data unknown	None
A0A087WUC9	Data unknown	None
H0YF42	Data unknown	None
U6BMB1	Data unknown	None
A0A0K0PUW7	Data unknown	None
A0A0S4T3V9	Data unknown	None
A0A0D6K9C8	Data unknown	None
A0A126GW82	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A126GWS9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A140T8X0	Data unknown	None
Q96GH2	Data unknown	None
A0A1B0GUR3	Data unknown	None
A0A1B0GUC9	Data unknown	None
D6RAB5	Data unknown	None
F4NC33	Data unknown	None
M1TD20	Data unknown	None
Q8WWN6	Data unknown	None
A0A126GVE6	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
Q6ZPA9	Data unknown	None
A0A0A0MTJ8	Data unknown	None
A8RZZ4	Data unknown	None
F6IQH9	Data unknown	None
A0A059RV41	Data unknown	None
F4NBU7	Data unknown	None
A0A0N7BB20	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
Q9H6I0	Data unknown	None
B4E1H4	Data unknown	None
B4DF14	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361216
H7BZV8	Data unknown	None
Q7Z4J1	Data unknown	None
A0A0B7NY70	Data unknown	None
A0A0D6K958	Data unknown	None
A0A165EYK7	Data unknown	None
A0A1D3KYI3	Data unknown	None
F6IQS3	Data unknown	None
A0A0A8R645	Data unknown	None
F6IQR1	Data unknown	None
I6YW07	Data unknown	None
I6L9A9	Data unknown	None
W1ICU3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A0A173ADI0	Data unknown	None
A0A1C3PHU4	Data unknown	None
B3KSG9	Data unknown	None
Q9UKZ7	Data unknown	None
F6IR47	Data unknown	None
M1VNN7	Data unknown	None
Q50KF2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004424
H3BUD5	Data unknown	None
A0A0S4T1U2	Data unknown	None
A0A0H4KBH8	Data unknown	None
A0A0D4WSF0	Data unknown	ECO:0000256|RuleBase:RU362117
A0A0J9YXF7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004424
Q71U75	Data unknown	None
Q2LIR3	Data unknown	None
Q71M28	Data unknown	None
A9QKR9	Data unknown	None
D3K0R0	Data unknown	None
B7Z2I9	Data unknown	None
B1GYE8	Data unknown	None
F8W1C0	Data unknown	None
A0A0A0WAE1	Data unknown	None
D3IP04	Data unknown	None
Q6ZNP3	Data unknown	None
Q70CQ0	Data unknown	None
A0A1L4BJB0	Data unknown	None
C6K6H7	Data unknown	None
Q96M97	Data unknown	None
F6IQJ2	Data unknown	None
H7BZI9	Data unknown	None
F6IR28	Data unknown	None
A0A087WZL8	Data unknown	None
K7QUS9	Data unknown	None
Q6ZS05	Data unknown	None
U5XJY5	Data unknown	None
A0A0S4XRL3	Data unknown	None
A0A126GV55	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A1C3PHV5	Data unknown	None
Q8WWJ7	Data unknown	None
F4NC07	Data unknown	None
A0A059QQL5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
H3BTE1	Data unknown	None
A0A0S2Z681	Data unknown	None
A0A126GVU4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
Q8N773	Data unknown	None
Q6UWT8	Data unknown	None
Q6IVY5	Data unknown	None
L8E891	Data unknown	None
U6BQP8	Data unknown	None
A0A173ADJ7	Data unknown	None
A0A126GWL3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A126GVV3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0U5Q0A7	Data unknown	None
A0A141ZSL2	Data unknown	None
A0A0I9RJ67	Data unknown	None
A0A126GVS4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0K0Q0G7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004951, ECO:0000256|SAAS:SAAS00004670
A0A0N6YPC3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A0X9RUW8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A1L3H065	Data unknown	None
A0A1B0GWH6	Data unknown	None
G9FJH7	Data unknown	None
U3Q5F9	Data unknown	None
Q50KF8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004424
A0A059QQZ5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
A0A140T9J8	Data unknown	None
A0A1D8MAL8	Data unknown	None
A0A1L1Z848	Data unknown	None
A0A1C3PHJ4	Data unknown	None
Q9P1N2	Data unknown	None
V5NR05	Data unknown	None
F4YTG6	Data unknown	None
U6BQR7	Data unknown	None
A0A1B5BA05	Data unknown	None
F4NBV5	Data unknown	None
A0A1G4HPW2	Data unknown	None
A0A0A8LFF3	Data unknown	None
X5D789	Data unknown	None
A0A1D8MAQ1	Data unknown	None
A0A1C9UPQ9	Data unknown	None
A0A1C3PHL4	Data unknown	None
A0A1J0Q120	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A060VG30	Data unknown	None
E9PNQ4	Data unknown	None
Q3ZUB3	Data unknown	None
F6IQD0	Data unknown	None
A0A059RP26	Data unknown	None
A0A125S9G7	Data unknown	None
U6BR74	Data unknown	None
Q67AF1	Data unknown	None
L8EBD9	Data unknown	None
A0A125RL88	Data unknown	None
Q29869	Data unknown	None
A0A0S4XRI7	Data unknown	None
A0A0G2JP19	Data unknown	None
A0A0G2JQT8	Data unknown	None
A0A126GVK9	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
B7ZKV9	Single-pass membrane protein	ECO:0000256|RuleBase:RU362099
C9JCY4	Data unknown	None
O19506	Data unknown	None
A0A075B6R6	Data unknown	None
H3BR29	Data unknown	None
A0A0U1RRJ0	Data unknown	None
A0A0G2JQ44	Data unknown	None
Q861E0	Data unknown	None
A0A140T8Z3	Data unknown	None
Q5JWS2	Data unknown	None
V5NQU9	Data unknown	None
B4DVA2	Data unknown	None
A0A165DE51	Data unknown	None
A0A126GWN8	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
A0A0U5PZC9	Data unknown	None
A0A0D4L4T2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A140T968	Data unknown	None
A0A191XZP2	Data unknown	None
F4NBQ2	Data unknown	None
H7BSL1	Data unknown	None
A7LFK8	Data unknown	None
H3BN98	Data unknown	None
A0A126GVK2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A0R4PYF0	Data unknown	None
A0A0S2Z3C5	Data unknown	None
A0A140DFY7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
Q5Y7G9	Data unknown	None
D7GN71	Data unknown	None
H0YNK4	Data unknown	None
J7FV22	Data unknown	None
A0A126GVM5	Data unknown	None
A0A126GW65	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A1J0MS77	Data unknown	None
A0A1L1ZBF9	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A1B0GTV7	Data unknown	None
V5NQX2	Data unknown	None
G3CA50	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
A0A060VHF3	Data unknown	None
C0LU32	Data unknown	None
E5DY18	Data unknown	None
U5YJL1	Data unknown	None
K7DVA1	Data unknown	None
A0A141ZSM5	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00410259
A0A126GVR4	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
A0A1J0Q3F3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A1D8MAR2	Data unknown	None
E9PIS2	Data unknown	None
O95220	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
F4YTD1	Data unknown	None
F6IQI5	Data unknown	None
A0A087WXI4	Data unknown	None
Q29670	Data unknown	None
W8DYI2	Data unknown	None
B7Z787	Data unknown	None
A0A0F6WF48	Data unknown	ECO:0000256|RuleBase:RU362117
A0A0S4XQS9	Data unknown	None
A0A165EL66	Data unknown	None
A0A1J0QK96	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000471
B3KSB2	Data unknown	None
A0A1J0Q1F2	Single-pass membrane protein	ECO:0000256|RuleBase:RU003661, ECO:0000256|SAAS:SAAS00400291
A0A0S2Z5C8	Data unknown	None
A0A143FZ36	Data unknown	None
A0A126GVX7	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
F1T0E8	Multi-pass membrane protein	ECO:0000256|RuleBase:RU361218
A0A126GW93	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
U5YJI3	Data unknown	None
A0A140H968	Data unknown	None
A0A0S4T4K2	Data unknown	None
A0A0U5PXX7	Data unknown	None
A0A1C3PHT0	Data unknown	None
G3CBL6	Data unknown	None
A0A090KEY9	Data unknown	None
A0A0A7HLS2	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
H0YB82	Data unknown	None
A0A059RTF2	Data unknown	None
Q8NH33	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
U5YKE8	Data unknown	None
A0A059RMS5	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000457
Q7Z2S4	Data unknown	None
X5D7A8	Data unknown	None
A0A059RHP1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003403, ECO:0000256|SAAS:SAAS00093751
B7Z1R3	Data unknown	None
A0A1C3PHA9	Data unknown	None
A0A1J0QKP1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A0U5Q0C0	Data unknown	None
A0A1D0C3E8	Data unknown	None
A0A1C3PHV4	Data unknown	None
A0A1E1JP39	Data unknown	None
C9JYL6	Data unknown	None
A0A1B0GV43	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00548360
Q5R342	Data unknown	None
F4NC10	Data unknown	None
Q8NH96	Multi-pass membrane protein	ECO:0000256|RuleBase:RU363047, ECO:0000256|SAAS:SAAS00521146
F8VPE9	Data unknown	None
U6BR78	Data unknown	None
A0A0S2Z538	Data unknown	None
V5NSX8	Data unknown	None
A0A1B0GWB2	Data unknown	None
B4E385	Data unknown	None
F4NBZ2	Data unknown	None
A0A0F7KYR9	Data unknown	None
H0YGQ1	Data unknown	None
A0A167L959	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A0K8K5S5	Data unknown	None
A0A0B5J5S1	Data unknown	None
A0A0S2Z5Z7	Data unknown	None
A0A1B1PEP3	Multi-pass membrane protein	ECO:0000256|RuleBase:RU004450
A0A1G4HQ05	Data unknown	None
A0A1A9C795	Data unknown	None
J9XP05	Data unknown	None
F6IQB3	Data unknown	None
A0A5A4	Data unknown	None
F6IQ99	Data unknown	None
R5AJY6	Data unknown	None
A0A0G2JQ71	Data unknown	None
H3BM37	Data unknown	None
F4YTF2	Data unknown	None
Q6ZVA8	Data unknown	None
Q8NG87	Multi-pass membrane protein	ECO:0000256|SAAS:SAAS00521146
F6IQH1	Data unknown	None
J3KSJ5	Data unknown	None
A0A087X1M4	Data unknown	None
F4NBV1	Data unknown	None
F5GWX9	Data unknown	None
B1PWE6	Data unknown	None
E9PLP1	Data unknown	None
Q5UGI4	Data unknown	None
F4YTD6	Data unknown	None
A9JPE8	Data unknown	None
F6IR20	Data unknown	None
I6L9D8	Data unknown	None
A0A0D4WQI1	Multi-pass membrane protein	ECO:0000256|RuleBase:RU003404, ECO:0000256|SAAS:SAAS00061113
A0A059QQB0	Data unknown	None
A0A0D9SEV1	Data unknown	None
A0A0G2JRA3	Data unknown	None
H7C3Q9	Data unknown	None
F4NBT9	Data unknown	None
A0A059QHH9	Data unknown	None
A0A0U1V1E6	Data unknown	None
A0A142J2A7	Data unknown	None
A0A0K1NXW1	Data unknown	None
A0A0S2C2H6	Data unknown	None
A0A0U2Q241	Data unknown	None
A0A141ZQW8	Data unknown	None
A0A1L1Z830	Data unknown	None
A0A1C3PI74	Data unknown	None
B4DSQ7	Data unknown	None
Q59FS9	Data unknown	None
Q8NGM4	Data unknown	None
Q9NWI3	Data unknown	None
M1NVA7	Data unknown	None
A6NGW1	Data unknown	None
A0A0S2IKY2	Data unknown	None
A0A060D4B3	Data unknown	None
A0A0S4XRK4	Data unknown	None
A0A167L934	Multi-pass membrane protein	ECO:0000256|RuleBase:RU000369
A7LFL0	Data unknown	None
A0A0S4T1S6	Data unknown	None
